Пол,Возраст,Одежда,Волосы,Внешний вид,Глаза,Взаимоотношения,Поведение,Эмоции,Цель,Профессия,Голос,Персональные качества,Достижения,Вещи
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"уважительное, дружелюбное",CANNOT ANSWER,"ожидание, надежда",CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,обращается за пошивом гардероба,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"видит как портного, просит пошить гардероб",CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"положительное отношение, рассматривают как мастера по пошиву",CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,удивление; радость,"кричал от радости, предавался восторгу",радость; восторг; удивление,CANNOT ANSWER,актёр,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,бумажник
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,радостный; восторженный,радость; восторг,вычислить свою часть,актёр,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружеское; заботливое,радостный; щедрый,радость; счастье,"поехать в Москву и сменить амплуа, приобрести гардероб",актёр,CANNOT ANSWER,щедрый; амбициозный; заботливый,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,доброжелательное к товарищам,восторженный; радостный,радость; восторг,поехать в Москву за гардеробом и сменить амплуа,актер,CANNOT ANSWER,страстный к искусству,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,заботливое отношение к товарищам; дружелюбие,щедрый; радостный; мечтательный,радость; удовлетворение; энтузиазм,"поехать в Москву, купить гардероб, перейти на новое амплуа",актер,CANNOT ANSWER,щедрость; амбициозность; артистизм,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"заботится о товарищах, хочет, чтобы они не голодали","обнимает, выражает нежность, обещает вечную дружбу, планирует переезд в Москву",радость; восторг; забота,поехать в Москву и получить гардероб; перейти на новое амплуа,актёр,CANNOT ANSWER,заботливый; преданный; амбициозный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружелюбный; заботливый к товарищам; готов помочь,открытый; эмоциональный; товарищеский,радость; восторг; чувство благодарности,поехать в Москву; улучшить гардероб; сменить актерское амплуа,актёр,CANNOT ANSWER,преданность; щедрость; оптимизм,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,заботливое к товарищам,"эмоционально‑дружелюбный, обнимает и целует","радость, удовлетворение","поехать в Москву, купить гардероб и сменить амплуа",актёр,CANNOT ANSWER,щедрый; заботливый,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружеское; заботливое отношение к товарищам,радостный; эмоциональный; обнимающий; клянящийся в вечной дружбе,восторг; радость; надежда,поехать в Москву; сменить амплуа; приобрести новый гардероб,актёр,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,к Смирнову — дружелюбный; к Попову — любящий и враждебный,обнимает и целует; планирует убийство,радость; любовь; злоба,поехать в Москву и получить гардероб; убить Попова ради денег,актёр,CANNOT ANSWER,бездарный; коварный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружелюбно; планирует убить,обнимает; целует; предлагает убийство,любовь; жадность; злоба,убить Попова ради денег,актер,CANNOT ANSWER,коварный; жадный; притворно‑любящий,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"к Попову — одновременно любит, ценит талант, но считает его бездарным и готов убить; к Смирнову — взаимная привязанность и совместный заговор","обнимает и целуется, участвует в заговоре убийства, проявляет жажду выгоды и готовность к насилию","сначала радость и нежность, затем жажда выгоды, зависть и готовность к убийству","убить Попова, захватить его часть денег и обеспечить себя средствами для искусства",актер (странствующий актёр),CANNOT ANSWER,"манипулятивный, завистливый, жадный, готов к предательству и насилию",CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"притворно‑дружелюбное, желает убить","обнимает, целует, плачет, коварно планирует убийство","радость, слёзы, любовь, зависть",убить Попова и сохранить деньги,актер,CANNOT ANSWER,хитрый; коварный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,удивление и удовольствие,восторженно,"удивление, радость, восторг",CANNOT ANSWER,актер,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,бумажник
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"крикнул «ура», затем сел на насыпи",радость; восторг,CANNOT ANSWER,актёр,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,радостный,кричал «ура»; предавался восторгам,радость; восторг,CANNOT ANSWER,актёр,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,бумажник
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружелюбное отношение к товарищам,"жаждущий праздника, нетерпеливый","радость, голод, возбуждение",выпить и перекусить,актёр,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,жаждет еды и напитков,проявляет радостное настроение и желание есть,радость; голод,получить еду и напитки,актёр,CANNOT ANSWER,молодой; лёгкий,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружелюбный к товарищам,взял деньги и отправился за провизией,"голод, желание поесть и выпить",пойти в деревню за провизией,актер,CANNOT ANSWER,молодой,CANNOT ANSWER,рубль
мужской , CANNOT ANSWER , CANNOT ANSWER , CANNOT ANSWER , CANNOT ANSWER , CANNOT ANSWER ," пренебрежительное, раздражённое отношение к Смирнову и Балабайкину ", решительный , восторг; раздражение , построить театр в Костроме , актёр , CANNOT ANSWER , амбициозный; решительный , CANNOT ANSWER , рубль
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"дружеское, благодарное отношение к спутникам","исполняет поручения, решительно отправляется за провизией",радость; предвкушение,"построить театр в Костроме, обессмертить себя, принести пользу отечеству",актёр,CANNOT ANSWER,молодой; лёгкий,CANNOT ANSWER,рубль
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"дружелюбен к спутникам, воспринимает их как друзей","пошёл за провизией, выполнил просьбу",воодушевлён; радостный; полон надежды,собрать труппу и построить театр в Костроме; стать известным,актёр,CANNOT ANSWER,молодой; талантливый; целеустремлённый,CANNOT ANSWER,рубль
мужской,молодой,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружеское; завистливое,обнимает; целует; планирует убийство,радостный; завистливый; решительный,создать театр в Костроме; обрести бессмертие,актер,CANNOT ANSWER,талантливый; коварный,CANNOT ANSWER,рубль
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"благодарен друзьям, рад полученным деньгам","выражал радость, шел за провизией, планировал театр",радость; воодушевление; решительность,построить театр в Костроме; купить провизию,актер,CANNOT ANSWER,молодой; талантливый; амбициозный,CANNOT ANSWER,рубль
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,доверие к товарищам,"исполнял поручения, собирался за провизией",восторг; надежда; задумчивость,построить театр в Костроме,актер,CANNOT ANSWER,молодой; наивный; мечтательный,CANNOT ANSWER,рубль; бутылка водки с ядом
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"враждебное к Смирнову и Балабайкину, желает их убить","проявляет радость и ласку, но тайно планирует убийство","восторг от денег, жажда славы, решительность в заговоре",построить театр в Костроме и избавиться от друзей,актер,CANNOT ANSWER,талантливый; коварный,CANNOT ANSWER,рубль
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,радостный; восторженный,кричал от радости; предавался восторгам,радость; восторг,насладиться находкой,актёр,CANNOT ANSWER,CANNOT ANSWER,бумажник,
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,восторженное отношение к найденным деньгам; радость,"крик, считает деньги, сидит, предается восторгам",радость; восторг; восторженность,"узнать, сколько денег на каждого",актёр,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,восторг от найденных денег,"считает деньги, восклицает, сидит, предаётся восторгам",радость; восторг; удивление,выяснить долю каждого из найденных денег,актер,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,деньги (банкноты) из найденного бумажника
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,восторженный,"кричит, считает деньги, радуется",радость; восторг,"узнать, сколько получит каждый",актер,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружелюбное; заботливое,восторженный; разговорчивый,радость; восторг,поехать в Москву; сменить амплуа,актёр,CANNOT ANSWER,щедрый; добрый,CANNOT ANSWER,деньги
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,со слезами на глазах,CANNOT ANSWER,"относится к Попову с любовью и заботой, считает его младшим другом",обнимает; целует три раза; плачет; радостный; заботливый,радость; трепет; счастье; слёзы,"обеспечить друзей деньгами и провизией, не дать им голодать",актёр (странствующий актёр),CANNOT ANSWER,заботливый; эмоциональный; чувствительный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"к Попову — нежный, заботливый; к Балабайкину — дружеский","эмоционально экспрессивный, ласковый, плачет, обнимает",радость; восторг; трепет,"обеспечить себя и товарищей деньгами, избавиться от голода",актёр,CANNOT ANSWER,щедрость; эмоциональность,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружелюбный к Попову; проявляет заботу,обнимает; целует; плачет от радости,радостный; со слезами; восторженный,CANNOT ANSWER,актёр,CANNOT ANSWER,щедрый; эмоциональный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,со слезами на глазах,со слезами,глубокая привязанность к Попову; дружелюбие к Балабайкину,"эмоциональное, ласковое, плачущий, обнимающий",радость; слёзы; любовь; тревога,CANNOT ANSWER,актёр,CANNOT ANSWER,чувствительный; заботливый,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,любовь к Попову; дружба с Балабайкиным,"эмоциональный, ласковый, обнимает и целует","радость, слезы, любовь",CANNOT ANSWER,актер,CANNOT ANSWER,чувствительный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,дружба с Балабайкиным; любовь к Попову,плачет; обнимает; целует; сентиментален,радость; слёзы; тревога; любовь,защитить Попова; сохранить дружбу,актер,CANNOT ANSWER,сентиментальный; эмоциональный; любящий,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"дружеские, ласковые к Попову","эмоциональный, плачущий, обнимающий, целующий, замешанный в заговоре",радость; слёзы; любовь; тревога,обеспечить себя и друзей деньгами; избавиться от Попова,актёр,CANNOT ANSWER,чувствительный; сентиментальный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,со слезами на глазах,слезящиеся,любит; ценит; тревожится,эмоционален; обнимает; целует; плачет; замешан в планировании убийства,радость; слезы; тревога,убить Попова,актёр,CANNOT ANSWER,эмоциональный; способный к насилию,CANNOT ANSWER,CANNOT ANSWER
